id,ccn,agencyId,date,createDate,updateDate,city,state,postalCode,blockizedAddress,incidentType,parentIncidentType,narrative,latitude,longitude
814979879,17-021898,85746,2017-08-09 03:48:02 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,9200 Block CARR CIR SW,CALLS-911 hangup,Quality of Life,CALLS-911 Hangup,33.5744,-83.8577
814979878,17-021900,85746,2017-08-09 05:27:03 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,DORCHESTER DR SE,CALLS-suspicious,Quality of Life,CALLS-Suspicious,33.5892,-83.8502
814979876,17-021902,85746,2017-08-09 05:28:40 PM,2017-08-10 01:30:42 AM,2017-12-06 05:23:21 PM,COVINGTON,GA,,3100 Block US HWY 278 NE,REPORTS-juvenile prob,Quality of Life,REPORTS-Juvenile Prob,33.6045104,-83.8586133
814979875,17-021903,85746,2017-08-09 05:36:57 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,2100 Block EMORY ST NW,CALLS-escort,Proactive Policing,CALLS-Escort,33.59951822495323,-83.86317014694214
814979874,17-021904,85746,2017-08-09 05:51:40 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,4200 Block ROBINSON ST NW,CALLS-911 hangup,Quality of Life,CALLS-911 Hangup,33.6,-83.8686
814979873,17-021905,85746,2017-08-09 05:57:57 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:31 AM,COVINGTON,GA,,10100 Block ALCOVY RD NE,CALLS-theft,Theft,CALLS-Theft,33.6163845,-83.8438908
814979872,17-021906,85746,2017-08-09 06:16:14 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,5100 Block CLARK ST NW & TURNER LAKE RD NW,CALLS-citizen assist,Proactive Policing,CALLS-Citizen Assist,33.5992,-83.876
814979871,17-021907,85746,2017-08-09 06:18:36 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,5300 Block ADAMS ST NE,CALLS-burglary alarm,Other ,CALLS-Burglary Alarm,33.6012139,-83.84426919999999
814979870,17-021908,85746,2017-08-09 06:19:22 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,6100 Block GREEN LEAF CT SW,CALLS-fight,Assault ,CALLS-Fight,33.5817,-83.86
814979869,17-021909,85746,2017-08-09 06:42:20 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,8100 Block STERLING LN SW,CALLS-911 hangup,Quality of Life,CALLS-911 Hangup,33.577,-83.8689
814979868,17-021910,85746,2017-08-09 06:44:14 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,2100 Block REYNOLDS ST SW,CALLS-argument,Other ,CALLS-Argument,33.5953412,-83.8634935
814979867,17-021911,85746,2017-08-09 06:45:08 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,10300 Block INDUSTRIAL BLVD NE,CALLS-property damage,Property Crime ,CALLS-Property Damage,33.61111679516018,-83.82952451705933
814979866,17-021912,85746,2017-08-09 06:58:20 PM,2017-08-10 01:30:42 AM,2017-09-16 01:32:32 AM,COVINGTON,GA,,WELLINGTON RIDGE DR NE,CALLS-911 hangup,Quality of Life,CALLS-911 Hangup,33.601767,-83.83065899999997
